p,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ishikawa,1096.9,1215.2,1324.6,1448.8,1576.6,1559.6,1685.8,1727,1817.5,1915.3,2073.8,2115.6,2284.6,2450.7,2560.1,2686,2747,2726,2736,2846,2897,3046,3008,2945,2943,2958,2885,2830,2853,2855.1,2874,2877.1,2939.4,2764.5,2569.4,2536.8,2555.3,2590.3,2709,2744.1,2869.6,2890.1,2951.8,3022.7
fukui,1032,1144.2,1237.9,1319.9,1371.6,1540.1,1718.7,1822.5,1860.3,1923.2,2020.5,2081.1,2217.9,2347.4,2468.2,2594,2727,2833,2825,2890,2871,2992,3004,2965,2882,2931,2864,2859,2898,2764.9,2828,2810.7,2885.3,2751.3,2663.3,3189.1,3170.3,2961.5,3069.8,2974.5,3201.9,3149.9,3279.3,3279.8
yamanashi,916.3,1017.9,1112.9,1269.3,1364.4,1470,1609,1641.8,1796.7,1997.8,2215.8,2218.9,2411.4,2492.1,2701.4,2813,2899,2869,2839,2844,2896,2985,3004,2821,2884,2950,2716,2722,2651,2612.9,2664.6,2729.3,2759.6,2727.7,2541.8,2681.6,2687.5,2602.7,2760.7,2641.1,2807.2,2865.7,3043.7,3159.7
nagano,1024.8,1151.5,1291.2,1384.1,1424.3,1596.3,1718.2,1777.5,1878.1,2018.8,2137.3,2183.8,2286.4,2489.6,2622.8,2704,2760,2757,2743,2796,2897,2969,2934,2931,2949,3027,2819,2710,2737,2799.9,2861.8,2799.4,2856.4,2731.4,2701.3,2596.3,2636.9,2577,2669.2,2687.7,2851.2,2848.3,2937.9,3009.8
gifu,986.8,1130.3,1244.4,1337.7,1414.7,1593.8,1700.6,1777.1,1856.8,1956.2,2086.4,2188.1,2335.3,2452.6,2630.7,2780,2909,2925,2931,2934,2942,3071,3008,2998,2938,2947,2847,2836,2851,2722.7,2750.6,2741,2759.7,2645.2,2519.6,2575.9,2590.5,2614.4,2612,2662.2,2737.1,2774.2,2844.1,2919
shizuoka,1079.2,1204.2,1300.6,1448.6,1611.6,1663.1,1776.1,1847.6,1944.5,2082.9,2309.1,2348.9,2431,2618.4,2841.9,3004,3139,3124,3117,3207,3246,3353,3333,3309,3200,3333,3179,3235,3226,3251.2,3342.4,3398.1,3410.9,3200.4,2926.4,3049.4,3092.6,3064.6,3197.9,3214.8,3299.3,3321.9,3380,3431.6
aichi,1196.3,1364.7,1489.8,1670,1761.1,1906.8,2076.9,2173.5,2269.7,2388.9,2587.6,2668.6,2857.9,3056.4,3324.7,3318,3492,3415,3343,3383,3515,3711,3638,3536,3429,3417,3376,3386,3403,3441.1,3498,3596.2,3647.3,3170.9,2970.3,3116.2,3242.1,3460.5,3580.6,3597.4,3702.2,3629.5,3694.6,3727.8
mie,1073.8,1183.4,1272.8,1368.1,1503.9,1638.3,1693.1,1747,1847,1947.7,2061.9,2109.1,2216.8,2419,2590,2694,2888,2867,2895,2892,2972,3064,3061,2967,2930,2973,2810,2861,2940,2996.3,3085.3,3160.6,3215.1,2861,2730.6,2873,2761.8,2818.6,2944.5,2820.5,2944.2,3046.2,3096.3,3120.9
shiga,1018.6,1123.7,1290.4,1481.2,1545.9,1652.8,1787.7,1891.3,1978.2,2092,2258.7,2391.5,2554.9,2798.5,2959.6,3032,3239,3272,3213,3308,3303,3559,3471,3278,3217,3321,3137,3155,3205,3255.2,3217.6,3250.5,3212.1,3041.5,2955.3,3032.1,2978.1,2886.3,2976.8,2988,3104.5,3200.7,3348.6,3318.5
kyoto,1079.3,1218.9,1340.1,1478.7,1567.2,1734.3,1835,1868.2,1917,2029.8,2212.3,2278.8,2413.4,2540.6,2690.2,2882,3027,2971,2945,2964,2987,3058,3027,2965,2891,2945,2793,2796,2839,2870.1,2882,2905.6,3029.5,2934.9,2815,2659.3,2689,2675.3,2691,2762.3,2900,2938.7,2993.1,2982.7
osaka,1356.3,1518.6,1643.2,1744.3,1805.7,2059.4,2165.2,2242,2279.3,2385.8,2423.1,2532.5,2640.4,2920.2,2969.7,3596,3715,3626,3487,3384,3408,3489,3388,3256,3205,3186,3058,3023,3042,2945.6,3001,3052.6,3200.3,3033.6,2879.4,2889.4,2953.2,2913.1,2975.1,2987.5,3075.8,3041.2,3172.6,3189.5
hyogo,1160,1301,1425.7,1506.4,1604.9,1651.5,1744.9,1824.1,1946.5,2073.2,2111.7,2183.9,2311.1,2500.2,2642.3,2751,2930,2931,2969,2935,3107,3260,3182,3033,2894,2913,2692,2657,2624,2714.8,2756.4,2852.7,2853.4,2730.3,2580.5,2685.3,2619.9,2687.2,2749.1,2777.3,2852.2,2882.8,2955.4,2967.7
